ts,level,reason,EAR,MAR,PERCLOS
2025-09-03 10:52:30,L1,Yawn detected,0.3323300188864642,0.5284843635399408,0.0
2025-09-03 10:52:34,L1,Eyes off-road / Gaze deviation,0.3195441092347681,0.006508291459418183,0.026217228464419477
2025-09-03 10:53:10,L1,Eyes off-road / Gaze deviation,0.2815032714765144,0.0044187434056996485,0.0
2025-09-03 10:53:36,L2,Microsleep / Long eye closure,0.1998538014583626,0.0023782139934449276,0.08774834437086093
2025-09-03 10:53:38,L1,Eyes off-road / Gaze deviation,0.3002924736376214,0.020388096548219777,0.09019607843137255
2025-09-03 10:53:41,L1,Eyes off-road / Gaze deviation,0.3255631992057045,0.012207742079927954,0.0841874084919473
2025-09-03 10:55:13,L1,Eyes off-road / Gaze deviation,0.3792331648699684,0.04481857204659533,0.0
2025-09-03 10:55:19,L1,Eyes off-road / Gaze deviation,0.24362125843397114,0.01682357679488872,0.0005555555555555556
2025-09-03 11:00:44,L1,Eyes off-road / Gaze deviation,0.37041183875691364,0.026956874537535015,0.08609271523178808
2025-09-03 11:00:48,L1,Eyes off-road / Gaze deviation,0.15710269247556047,0.008571866284155162,0.16791044776119404
2025-09-03 11:00:49,L2,Microsleep / Long eye closure,0.17086539007484247,0.0068412060113945935,0.2328767123287671
2025-09-03 11:00:51,L1,Eyes off-road / Gaze deviation,0.4728339710865022,0.012891951540247571,0.3100558659217877
2025-09-03 11:03:19,L1,Eyes off-road / Gaze deviation,0.25250008033326354,0.19276507455867362,0.01680672268907563
2025-09-03 11:03:20,L2,Microsleep / Long eye closure,0.24117812395947574,0.14697065456672304,0.2125
2025-09-03 11:03:22,L1,Eyes off-road / Gaze deviation,0.2673279982670942,0.14893410407283741,0.2857142857142857
2025-09-03 11:03:25,L1,Eyes off-road / Gaze deviation,0.25981342631680127,0.003237034900754614,0.19933554817275748
2025-09-03 11:03:28,L1,Yawn detected,0.25645553190071063,0.5358109424518743,0.23039215686274508
2025-09-03 11:12:00,L1,Eyes off-road / Gaze deviation,0.36888457299325605,0.01537112004214653,0.0
2025-09-03 11:12:17,L1,Yawn detected,0.28674044071996846,0.5994292597399576,0.0
2025-09-03 11:12:20,L1,Yawn detected,0.275296630588217,0.5891173670256554,0.0
2025-09-03 11:12:35,L1,Eyes off-road / Gaze deviation,0.28277837671351397,0.003391985017877129,0.03645007923930269
2025-09-03 11:12:41,L2,Microsleep / Long eye closure,0.12659149192326108,0.00233254300844354,0.1449814126394052
2025-09-03 11:17:33,L1,Yawn detected,0.275164497067625,0.555371968176138,0.0
2025-09-03 11:17:36,L1,Eyes off-road / Gaze deviation,0.29093282095562295,0.005334732715396321,0.06976744186046512
2025-09-03 11:17:43,L1,Yawn detected,0.24829331299668853,0.5751099185118715,0.15053763440860216
2025-09-03 11:17:43,L2,Microsleep / Long eye closure,0.2122105883650856,0.555411837478258,0.18766066838046272
2025-09-03 11:17:46,L1,Eyes off-road / Gaze deviation,0.2562941284837056,0.6003842826401847,0.2532467532467532
2025-09-03 11:17:49,L1,Drowsiness rising (PERCLOS),0.2625129939911859,0.004578831079881355,0.33634719710669075
2025-09-03 11:17:52,L1,Drowsiness rising (PERCLOS),0.2621971219096661,0.00605174891471873,0.30793157076205285
2025-09-03 11:17:57,L2,Microsleep / Long eye closure,0.21123372519217662,0.02911798428098732,0.2719186785260483
2025-09-03 11:33:37,L1,Yawn detected,0.30393344913432696,0.4742357758697149,0.017391304347826087
2025-09-03 11:33:40,L1,Eyes off-road / Gaze deviation,0.17311488443748763,0.0063942079386291924,0.14634146341463414
2025-09-03 11:33:49,L1,Eyes off-road / Gaze deviation,0.4406420846304052,0.011783371231913684,0.12033195020746888
2025-09-03 11:33:54,L1,Eyes off-road / Gaze deviation,0.2893085068900474,0.003961656717296418,0.12422360248447205
2025-09-03 11:34:03,L2,Microsleep / Long eye closure,0.20252115747886493,0.003545318797067493,0.14142538975501115
2025-09-03 11:35:13,L1,Yawn detected,0.270963815950253,0.5500760623453876,0.0
2025-09-03 11:35:23,L2,Microsleep / Long eye closure,0.20235723638452704,0.0042393059939168105,0.254957507082153
2025-09-03 11:35:23,L1,Eyes off-road / Gaze deviation,0.30508104075784565,0.0019388995455101462,0.25136612021857924
2025-09-03 11:35:26,L1,Drowsiness rising (PERCLOS),0.21544700356246435,0.06282316684606697,0.3508771929824561
2025-09-03 14:29:23,L2,High drowsiness (PERCLOS),0.0795579725976211,0.00410632968060269,1.0
2025-09-03 14:29:23,L1,Drowsiness rising (PERCLOS),0.08179276022250814,0.004709212367235838,1.0
2025-09-03 14:29:28,L1,Eyes off-road / Gaze deviation,0.3457823291135953,0.17241493637930405,0.12727272727272726
2025-09-03 14:29:32,L2,Microsleep / Long eye closure,0.07893683864654202,0.005105320820219945,0.2147887323943662
2025-09-03 14:29:33,L1,Drowsiness rising (PERCLOS),0.06623873837304721,0.0031136051488860903,0.30094043887147337
2025-09-03 14:29:36,L1,Drowsiness rising (PERCLOS),0.0677967418628375,0.007403614910145571,0.4547677261613692
